10065,"['010602', '011000', '011401', '011402', '011600', '011800', '012000', '012200']"
10453,"['005300', '020501', '020502', '021501', '021502', '021700', '022701', '023301', '023501', '023704', '023900', '024100', '024300', '024501', '024502', '024700', '024900', '025100', '025500']"
10452,"['006300', '018900', '019300', '019500', '019700', '019900', '020100', '020900', '021100', '021301', '021302', '021700', '021900', '022101', '022102', '022300', '022702']"
10451,"['005100', '005902', '006100', '006300', '006500', '006700', '006900', '007100', '014100', '014300', '017300', '018301', '018302']"
10457,"['016500', '016700', '016900', '022500', '022703', '022901', '022902', '023100', '023302', '023502', '036901', '036902', '037100', '037300', '037504', '037900', '038100', '038301', '038302', '038500', '039100', '039300', '039500']"
10456,"['007100', '007500', '007700', '013100', '013300', '013500', '014100', '014300', '014500', '014701', '014702', '014900', '015100', '016900', '017300', '017500', '017701', '017702', '017901', '017902', '018101', '018102', '018302', '018500', '022500']"
10455,"['001900', '003100', '003500', '003700', '004300', '006500', '006700', '006900', '007100', '007300', '007500', '007700', '007900', '008300', '008500', '009300']"
10454,"['001900', '002300', '002500', '002701', '002702', '003100', '003300', '003500', '003900', '004100', '004300', '005100']"
10459,"['007700', '008500', '008700', '008900', '011900', '012101', '012102', '012300', '012500', '012701', '012901', '013100', '013300', '013500', '015100', '015300', '015700', '015900']"
10458,"['023702', '033400', '038301', '038302', '038500', '038700', '038900', '039100', '039300', '039700', '039901', '039902', '040302', '040501', '040502', '040702', '041300', '041500', '042500']"
11232,"['000200', '001800', '008200', '008400', '008800', '009000', '009200', '010100', '014300', '014500']"
11233,"['027300', '027500', '029500', '029700', '029900', '030100', '030300', '030700', '035900', '036100', '036300', '036501', '036502', '036700', '036900', '037100', '037300', '037500', '037700', '037900', '038100', '038300']"
11385,"['053500', '053900', '054500', '054700', '054900', '055100', '055300', '055500', '055700', '055900', '056100', '056500', '056700', '057700', '057900', '058100', '058300', '058500', '058700', '058900', '059100', '059300', '059500', '060300', '061301', '062100', '062300', '062500', '062700', '062900', '063301', '063302', '063500', '063700', '063900']"
11234,"['063600', '064000', '064400', '064600', '064800', '065000', '065200', '065400', '065600', '065800', '066000', '066200', '066600', '067000', '067200', '067400', '067600', '067800', '068000', '068200', '068600', '068800', '069000', '069200', '069601', '069602', '069800', '070000', '070201', '070202', '070600', '072000', '072200', '072400', '072600', '072800', '073000', '073200', '073600', '073800', '074600', '093200', '094401', '094402']"
11235,"['035400', '035602', '036001', '036002', '036200', '036400', '036600', '037000', '037401', '058800', '059000', '059200', '059401', '059402', '059600', '059800', '060000', '060600', '060800', '061002', '061003', '061004', '061200', '061600', '062000', '062200', '062600', '062800']"
11237,"['040900', '042700', '042900', '043100', '043300', '043500', '043700', '043900', '044100', '044300', '044500', '044700', '044900', '045300']"
11218,"['017100', '017700', '022400', '022600', '022800', '023000', '023200', '047800', '048000', '048200', '048400', '048600', '048800', '049000', '049200', '049400', '049600', '049800', '050000', '050202', '050400', '050600', '052000', '052600', '150200', '152200']"
10280,"['031703', '031704', '031900']"
11379,"['050500', '050700', '060100', '060300', '060701', '061301', '061302', '061900', '062100', '065501', '065702', '065703', '065900', '066100', '066300', '066501', '066701', '066900', '067100', '067700', '067900']"
11378,"['019900', '020500', '021900', '022900', '049301', '049302', '049500', '049700', '051100', '051300', '051500', '051700', '052100', '052500', '053100', '053500', '059500', '059900', '060100', '060701', '066701', '066900']"
11102,"['006300', '006501', '006900', '007100', '007300', '007900', '008100', '008300', '008700', '009100', '009500', '009700', '009900', '012500']"
11103,"['005900', '006100', '006300', '006501', '006502', '012500', '014100', '014300', '014500', '014700', '014900', '015100', '015300', '015500', '015700', '015900', '016100', '016300', '029700']"
11377,"['014100', '016300', '016900', '018300', '018501', '018502', '018700', '020500', '022900', '023500', '024300', '024500', '024700', '024900', '025100', '025301', '025302', '025500', '025700', '025900', '026100', '026300', '026500', '029100', '029300', '029500', '029700', '029900', '030902', '048300', '048500', '048900', '049301', '051300', '051500']"
11101,"['000100', '000700', '001900', '002500', '003100', '003300', '003700', '003900', '004300', '005100', '005500', '005700', '008500', '015700', '015900', '016100', '016300', '017100', '017900', '018700', '018900', '019900']"
11106,"['003300', '003700', '003900', '004300', '004500', '004700', '005100', '005300', '005500', '005700', '005900', '006100', '007300', '007500', '007700', '008100', '008500']"
11370,"['000100', '012301', '013500', '030902', '030903', '030904', '031700', '032700', '032900', '033700']"
11104,"['016900', '017100', '017900', '018101', '018102', '018300', '018501', '018502', '018700', '018900', '023500', '025301']"
11105,"['009700', '010100', '010300', '010500', '010701', '011100', '011300', '011500', '011700', '011900', '012100', '012301', '013500', '013700', '031700']"
11375,"['038302', '043701', '064500', '070700', '070900', '071100', '071303', '071304', '071305', '071306', '071900', '072100', '072300', '072900', '073100', '073700', '073900', '074100', '074300', '074500', '074700', '074900', '075701', '075702', '076901', '076902']"
11374,"['050500', '063700', '067900', '068700', '069300', '069500', '069701', '069702', '070300', '071100', '071304', '071306', '071701', '071702', '071900', '072100']"
11229,"['054600', '054800', '055000', '055200', '055400', '055600', '055800', '056000', '056200', '056400', '056600', '056800', '057000', '057200', '057400', '057600', '057800', '058000', '058200', '058400', '058600', '059200', '059401', '059402', '062600', '062800', '063200', '063800', '064000', '064200', '064400', '066600', '075600']"
10040,"['026900', '027300', '027500', '027700', '027900', '028100', '028300', '028500', '028700', '029100']"
11228,"['013200', '014000', '014800', '015000', '015200', '015400', '016600', '016800', '017000', '017200', '018400', '018600', '018800', '019000', '019600', '019800', '020000', '020200', '020400', '020600', '020800', '026200']"
10044,"['023801', '023802']"
11201,"['000100', '000301', '000501', '000502', '000700', '000900', '001100', '001300', '001500', '002100', '002300', '002901', '003100', '003300', '003700', '004100', '004300', '004500', '004700', '004900', '006900']"
11203,"['072600', '080600', '080800', '081000', '081400', '081600', '081800', '082400', '082600', '083000', '083200', '083400', '083600', '083800', '084000', '084600', '084800', '085000', '085200', '085400', '085600', '085800', '086000', '086200', '086400', '086600', '086800', '087000', '087200', '087401', '087600', '087800', '088000', '093200', '093600', '093800', '094401', '094600']"
